entry_word,synonyms
amvisëri,nikoqirllëk RA
amvisjë:,Shih: rregullim E nar jës ae
amzë,"regjistër, shih matkë: shih burim"
"an,",Shih këmishë Të e  Berire
"an,",shih kyçë e jet
anaç,"shih dinak,"
anadetas,shih bregdetas : vë në O i te
anadollak,shih prapambetur Gas i që
anak,shih anëcak N
anakronik,shih vjetëruar d-:
analeshik,historik: P Si
shqyr,"yrtim,"
përimtim,:
analizoj,"zbërthej, n marr në ëanalizë, , komentoj"
"afër),","qëndroj, përd"
analizues,"zbërthyes, komentues Les vë E"
analog,shih ngjashëm Kg ën
analogji,shih ngj jashmëri shë Pa
Aralimas,"shih bregalumas, ix E"
anamend,"shik hutimthi  ë ni is E,"
anamendas,"shih hutimthi,"
anames-shih,midis: e i
anangas,shih: ngacmoj PSE 1 të
anarkik:,shih çrregullt bis shih kaoti
amas,"shih vendës AS htë,"
anas,shih anash: oë pi S
anagjell,së shih përbye
anasjellë,Ge)
anasjellë,Që) shik përkundërt (1)
anasjellje,shih përmbysje
anasjelltas,"anasjellas, reciprokisht"
anash,"anas, anës, anësisht, anazi, përbri, bri,"
"bënylas,","ijazi, ijas, brinjas: shtrembtas,"
"Shtremibër,",pjerrtas: rrotulli mënjanë:
"tërthor,","tërthorazi, kërthazi, shkarazi"
anashkalim,shih: shmangie: shih qar kim
anashkaloj,shih shmangj shih qarkoj:
anazi,shili anash Ka
andaj,bis shih prandaj NE i ë de i katë ni
andej,"përtej, tutje, matanë: përmatanë, tej, i"
"Asajanë,","andejpari, largj shih rreth"
andej-këtej,shih shpërndaras
andejpari,Shi andej :
andejmë,(i) shih andejshëm (i)
andejshëm,"(i) andejmëti), përtëjimë: d"
përtejshëm,"(1), largët (i), matanshëm (iy'"
andrallë,"bis: shih shqetësim, kokëçarje"
andallëmadh,bis shik hallemadh:
andrallos,bis: shik shqetësoj: andrallosem
shih,shqetësohem: shik'hutohëm:
andrallosur,(içe) bis shih Shiqo suar GO: shik
hutuar,(1) 50
anë,krahin shih nënë: shih plakë N
anëkdotë,"shih gazmore, mrëtësë"
anekënd,"shih Kido AT M, i"
aneks,"shtojcë, plotësimi shih kthinë"
aneksim,shikrrëmbim: shih pashkëngjitjes
anëksoj,shih rrëmbej: shih bashkëngjis
aneksuar,"(i, e) shih 'Bënibyer QO shih"
bashkëngjitur,(i) dh
anembanë,shih' kudë:t
anëmi,pagjakësi: shih dobësi
anemik,shik pagjak D zbehtë Dr shih
pafuqishëm,(i):
anepërqark:,shih përqark :
anëqark,shih përreth kë
anesë,shih anë na
anë,"skaj, buzë, krah, brinjë, ijë, she, shmëine,"
"periferi,","thembër, uvje, vetull (vijë ujt), bis"
"qenar,","teh, zgrip: vend, zonë, krahinë, vis,"
"pjesë,","trevë, bis lagje, vjet nahije, sinor:"
qoshe:,"faqe, kamp, palë, shih tipar: veçori:"
"drejtim,","pikëpamje, këndvështrim, aspekt,"
"pikëranesë,","anësi, njëanshmëri, hatër, pajë,"
Shik,dorezë POS
anëcak,anaks shih: njëanshëm: QO:
anëdet,shih bregdet esë SA
-J,angolas shih angolëzi '
angullimë,"aullimë, angullitje, kuisjes shih"
angullit,"shih angullin, : s nët V te set"
angullitje,shih'an gullimë baste e
angjinare,hinardh  56 e
Am,bis shih pastaj: shih pale: shik bejë shih
anëdetas,shih bregdetas
anëpranë,shih kudo -
anës,shih anash ai E
amëse,"anie, anore, borimë, brinajë: shih trip:"
"anësi,",shili anë: shih bis: tarafllëk: 5
anësim,Shik anim
anësoj,"shih anoj: anësohëmi shitanoj, prirëmi"
marr,anën
anësor,"anshëm (i), përanshëm (i), periferik:"
përjashtëm,"(1): Shih dytësor, sport shih krah:"
anësore,"shih veshëz,: shih' rrugëzi shih thurimë"
anëtar,shih pjesëtar: delegat '' pë
anëtarsi,pjesëmarrje  ë
anëtarsim,regjistrim
anëtarsoj,"regjistroj, fus (në një parti ët E"
anëtarsohem,"Furoiri, hyj, regjistrohem (n në"
një,parti etj) ër
anëtarësuar,Gs 50 organizuar 0 ( vjet kë
angari,shkël:ë shko i
angazhim,shih zotim: Shih' aktivizim: J
angazhoj,"shih pajtoj,, shih përfshij, aktivizoj:"
Angazhohem,shih  përfshihei
angërdufem,shih: fryhem:
angërr,shih cipës shih përbrendshme të)
rropulli:,shih Zgavër u T
angësht,Gj e) krahin shih ngushtë G: shih
koprrac:,"shih fjalëpakë, krahin: ishih"
Shtrënguar,(i) 0
angësht,krahin shi ngushtë: Shi keqi:
angështi,krahin shih ankth: shih Zagushi:
angështoj,shih figushtoj: angështohem
krahin,shih ngushtohëm 5 E
angështuar,"(i, e) krahin shih ndrydhur (i)"
ulërimë:,shih gërvimë si 5 sara Grate
angullin,"aullin, angullit, Kat, kuit, gërnjitet"
shih,ulërin: shih gëvin
ikone,"anëjatë, n nAV: atë: met"
anijesi,shili Notë
anjjesor,suk dëtar
fnjjetar,shih detar
Andin,"anësim, përkulje, vaisjes pjerrjes"
"mëshim,",bat: shite prirjes shili ngjashmëri
ankand,mezat (vjet )- E
ankesë,"ankim, pakënaqësi: Bës gji,"
"(e),",qarje
anketë,sondazh: shih pyetësor
ankim,"shih ankesë: shih rënkitës apel apelim,"
vjët,thirtavajë
"ankoj,","ankohem qahem, qaj jhallet, grindem,"
fig,"pëshpëris, bis cingërojs mjaullij,"
"rënkohem,","bëj hajmedet (vaj, kiameië"
"ligjërohëm,:","Shih apeloj, shih rënkoj"
ankojëshih,qaraman
ankth,"makth, angështi, shqetësim, të rëndëte"
"dheut,","krahin shtrëngim, Nahtari, vëng, vjet"
vrevë:,sties
ankthshëm,"(i) angështuar Q, shqetësuar G"
me,ankth: stresuar QE i
ankues,shih vajtues
ankueshëm,shih vajtueshëm
"anoj,","anohëm anosem, përkulem, varem,"
"vithisem,","mëshoj, batohem, brinjohëm,"
"-mbrinjohëm,","mbrinjem: prirëm, Kl"
"anësohem,","anësoj, përvarem, ha, vais, pjerr,"
"pirrem,","prier, rënidoj, rrah, rrëmbëj, shulem,"
"shtrëmbëroj,","shtrembëtohem, shih ngjaj:"
anonim,"shih paemër (1), padorës 0)"
anore:shih'anëse,TA
anormal,jonormal: va 4
anos,"shik përkul: anosem shih anshëm,"
anshëm,(i) shik: anësor: shih: njëanshëm (1)
anshmëri,shih anë e
antagonist,shih kundërshtar: pete
antagonizëm,"shih kundërshti, Kondërshtim,"
kontradiktë,I
antenë,shih brirë
anteri,vjer shih mëngorë '
antiajror,shih kundërajor
antidialektik,metafizike  se Ko
antifetar,shih ateist 0 au gj
antigrimcë,"shih antithërrmijë, di"
antik,shih lashtë (1):: shih klasike bis shih
komik,së
antikitet,shih lashtësi e dr së
antilëndë,"kundërlëndë, antimatër 16:"
antitezë,kundërtezë
antitrup,kundërtrup:
ar,"flori, vjer alltën: shih artë E)"
'araba,vjet shih karrocë: Tet E
shih,jashtëligjshëm (1)
hih,pligjshmëri
antimaterit,shih antilënd
antin,"jerëzor , shih kundërnjerëzor, barbar"
antipatik,shih pakëndshëm (1) i
"antithërrmi,",jjë anti gri
antonimi,kundërvënie
anuar,VJ kuluë g: sshih pjerrët G:
"mcë,", kundërgrimcë
anuar,(i ej shih për
shih,shtrembëruar (1
anulim,shik shfuqizim
anuloj,"shik shfuqizoj, prapësoj"
anuluar,Gje) shih shfuqizuar Gb
anjëz,shih morr
apansëz,"bis shih befas, papritur:"
aparat,kamerë: shih pajisjes shih makinë
aparaturë,shth makineri 50 pe Ta
apartament,"hyr) jes shih shtëpi, banesë"
apasionuar,"(i,e) shih'adhuruës::"
apati,shih plogështi: Shih mmoskokëçarje
apatik,shit: plogët (1): shih moskoKëçarës:
apel,"shih thirrje, shih ankim Ga"
apelim,"shih ankimi, in"
apeloj,"shih ankohëm S, Kem i,"
apelueshëm,1 shih kundërshtueshëm Gr
apë,krahin shik vëlta (imadh) vj
apo,"bis shih aj Shih ose, shih adoshta: shih"
përndryshe,"ti kt, TA at"
apogje,shih kulm sh kai
apopleksi,shih Hemorragji (cerebral) E
apostafat,bis shih qëllimisht N JAR
apostolik,papnor  kd sat ët E Kte
apostull,libr shih përkrihës ës s K
apoetozë,hist shih ' rit Kendon 'shih
lavdërim,arapi PR
aprovim,shih miratim nE Ki 5 në sa Di
aprovoj,shih miratoj i
ag,"kaq, krahin njëqe shih shumë, mjaf shih"
pak,qs
arabisht,drabçë dh jtë shtë
aradhe,vjet shih: tisheri: Fig: ëhik pararojë
"Shteg,",shih i paradhomë mesorë: pshiki hajat
ara-mava,shih shkel e-shko
arap,"shih zezak: shihze sshkan, shik fultrëz,"
shih,"vraç, ri"
arapash,"shili mëmëligë, kaçëmelë"
arapli,krahin Shth: gjethe dëlli
araqe,krahiri shih: nyjës shih 5 vjepëz
Arar,shih bujk: aa
Aras,arave pë ha
arashkë,"krahin shih rrepë, panxhar:"
aratim,vjet shth lëvrim Ua
aratoj,vjer shih lëvtoj
arbaletë,shih balëstër
arbër,shti shqiptar:  S pë
"arbër,",shih shqiptar: krahin shih fusharak
krahin,shih lab i QN kd
"arbër,",krahin shik fushë  0 si
arbëresh,shih Shqiptari: krahin: shih labe
arbëror,shih shqiptari E
arbitër,shih g gjyqtar
arbitrar,shih padregëshë QO
arbitrazh,shih gjykim
arbitrim,shih sjykim
arbitroj,shih ndërmjetësoj: shih jykoj
ardhacak,shik: ardhur (1)
ardhang,shih gjallërojë ardhangem shih
ardhangët,"Gi, e) shihe gjallë Gs shih shëndoshur"
Q):,shik vrazhdë (i) PO
ardhangie,shih njomështi E
ardhëm,(i) shih ardhshëm (i) -
ardhës,shih ardhur (dy: shih thjeshtër
ardhje,"mbërritje, ardhur (e), arritje:"
ardhme,"(e) ardhshme: (6): nesërme: (e), Ja"
"ardhshrhëri,","perspektivë, shih fat - I"
ardhshëm,"(i) ardhëm (i), n ssërt EJ Go"
"tiv,",pritinë Di pashën: Gi shih
afruëshëri,QE eh at
ardhshme,(e) shih: ardhtiie (5 mi
ardhshmëri,shih ardhmë (6): ' AE
ardhur,"G,' ë) ardhës, ardhacak: daj 6),"
"rënjëshkulur,","refugjat, vjet jabahxhi: Shih"
afrueshëm,(1): shih jashtëm: (1) fryrë
-arritur,"(1), mbufatur Oo, nëridhur m shih"
zhvilluar,(ia u PE :
ardhtë,"(ë) shih ardhje so gjehet S,"
ardhura,"(të) para, qese, fig kuletë: shi fitim"
"arenë-shesh,","fushë, skenë: shih mejdan"
arë,shih tokë E E gen
arëz,shih grerëz Kë say R
argalisem,"shih argëtohem, BR"
argsh,shik trinë
sirgjendpuriues,ë shih Shishe
argjilë,"deltinë, botë, glinë, kaishtë"
argjilor',deltinor:  po
argjipeshkëv,shih kry pH A
argjipeshkvi,shih kr vepeshkopatë
aristokraci,Shih: Si
aristokrat,shih fisnik
aritmetik,shik' aritmë KOR:
arith,"krahin, shih- këputjës"
arithë,krahin: Shihiurithë:
arithi,"qitithi, Shah, shahthi,"
arixheshkë,arixhofk
19, rixheshkë
ArBANO,shih çikrik
Argasshi,"frah, shih regji rase: shih bregjëm"
argasje,Shih regjjes Pa
arpasur,"(i,e) shih: regjut G"
argat,shih mëditës tk
argëtim,"dëfrim, lojë, lodrim, bis sqet, pallë,"
Shih,zbavitje
argëtoj,"dëfrej, zbavis, kënaq, bis englendis:"
shilledhatoj:,"argëtohem dëfrej,: dëfrehëmi,"
"afgalisem,","zbavitem, kënaqem, bis"
"englendisem,","çepelis, luaj, lodroj, bëj qejt"
"(pallë),","(ia) shpie (çoj, kaloj) shkëlqyeshëm"
argëluesi,"dëiryes, 7 zbavitës, Jodërtar, lodrues,"
argoshë,shih puçërr  e D Mind
argull,shik morr
argument,"shiharsye, provë: shih përmbleshje"
argumentim,shih arsyetim
arpumentoj,"shih arsjetoj, provoj: shih"
argumentuar,"6 mbështetur: 6), provuar O"
bazuar,"(i), arsyetuar (1) E"
argumentues,"dëshmues, provues"
argumentueshëm,G) dëshmueshëm I
provueshëm,(1) ut në
argjerid,'serm (vjet J: sërma (vjët ji NR
argjendar,"argjendpunues, arpunues vjet"
kujunxhi,p PO AS sa Pa kk RS
argjendarinë,shih zbukurim: ve e S
argjenddashës,vë he kope
eee,ikop
kurbates,kurbat
por,pelena terë za cdi: em mm EH
arixhë,"gabel, cigan, kurbat"
arishotkë,t shiti avixheshkë
arkaik,shm lashtë (Mi shih vjetëruar (1):
arkapi,krahiit shih-deriçkë:
nvkë,"sënduk, baule, sepete, kariavëtë, kashun,"
"kosit,","hambar: kasë, kasafortë: shih arkivol"
arkëmort,shifiarkivol
arkëz,"kuti, korube"
arkidioqezë,shih kr yepeshkopatë
arkitekt,projektues: -
arkitra,kryetra Ad
arkivol,"arkë, arkëmort, qivut,: tabut E"
armatesë,shih armaturë më
"armatë,",shih ushtri
"armatë,","shih varëse, zinxhir"
armatim,shik armatosjë: armët: veshje (me
armator,armatues
armatos,fig shih pajis: vësh' (me arrriatesë):
në,hekur (çelik): fig shih pajisem
armatosje,"armatim: fig shik pajisje, veshje"
(me,armatesë):
armatosur,(ië) pallëngjeshur ( poët p veshur
Gi,(me armatësë)
armatues,shih armator
armaturë,"skelë: armatesë, shih skelet:"
armë,shih turshi: lakërarme
armë,fig: Shih mjet: shih armatim: shih ushtri
armëmbajtës,"shih shqytar, JA shih ve"
armëmbajtëse,Shih'armaturë: së
armëndregës,shih armëtar
armëpathyer,poet shih pamposhtur b
armëpunues, Shih armëtar
armëri,vjet Shih armëtore
armëtar,"armëpunues, armëndreqës, vjet"
dyfekçi,1
armëtore,armëri -
armik,"kundërshtar, hasm, shemër, mikë i"
"paftuar,","bis vjet dushman,"
armiqësi,"hasmëri, mëri, shëmëri"
armiqësoj,hasmëroj (bis): shih grind: shik
"përçaj,",armiqësohem pëRgaleri: bis:
hasmërohem,TE
armiqësor,shih agresiv
armigësuar,"(i, e) hasmëruar G) të bis T mëritur"
(1):,shih përçarë (i)
armigësues,shih përçarës
arnajë,arni
arnaut,vjet shih shqiptar
arnesar,vjet shih arnues:
shih,arnë:
arnë,"arnesë, arnishtë, kind, pullë, bis"
mballomë:,shik mbathë
arni,shih arajë
arnini,armesë: fig patericë
arnoj,"zë, bis mballoj, rrotoj: arnohem fë"
shih,rregullohem Nin
arnojsë,krahin shih gjilpërë:
arnuar,"(i, e) mballosur (1) (bis), shih ribattue 0)"
aromatik,shih erëmirë
aromë,"shih erë,"
aros,shih: praroj
arosur,"G, e) shih artë (1)"
